longitude,latitude,track_id,class_name,confidence,reliability,accuracy_meters,detection_count,first_frame,last_frame,duration_frames,estimated_distance_m
-58.67195333617803,-34.661624498484414,43757,Led-240,0.8,0.85,1.7,1,0,100,100,25.0
-58.671973944767515,-34.66166131600076,43931,Led-240,0.8,0.936,1.0,1,0,100,100,25.0
-58.671940700805294,-34.66158881837334,43984,Led-150,0.8,0.943,1.0,0,0,100,100,25.0
-58.67195490757901,-34.66161145120761,44150,Led-150,0.8,0.955,1.0,0,0,100,100,25.0
-58.67195137880728,-34.66165166500042,44222,Led-150,0.8,0.968,1.0,0,0,100,100,25.0
-58.671939057163065,-34.661605526184324,44287,Led-240,0.8,0.954,1.0,1,0,100,100,25.0
-58.67191269800401,-34.66164081843523,44571,Led-240,0.8,0.933,1.0,0,0,100,100,25.0
-58.671883163998245,-34.66160153897545,44748,Led-150,0.8,0.968,1.0,0,0,100,100,25.0
-58.67185437253427,-34.66159277255103,45000,Led-150,0.8,0.943,1.0,0,0,100,100,25.0
-58.671788808442656,-34.66155872924481,45886,Led-150,0.8,0.944,1.0,0,0,100,100,25.0
-58.67174827896281,-34.66155998714093,46090,Led-150,0.8,0.948,1.0,0,0,100,100,25.0
-58.67174505271187,-34.66155880692819,46095,Led-240,0.8,0.96,1.0,0,0,100,100,25.0
-58.67173429512183,-34.66155408985719,46168,Led-150,0.8,0.944,1.0,1,0,100,100,25.0
-58.671657699661544,-34.66152984795307,46626,Led-150,0.8,0.811,2.2,2,0,100,100,25.0
-58.67174291366692,-34.66149546552725,46691,Led-240,0.8,0.925,1.0,1,0,100,100,25.0
-58.67171896124628,-34.661485936827745,47003,Led-240,0.8,0.956,1.0,0,0,100,100,25.0
-58.67169764211461,-34.661482531172645,47125,Led-240,0.8,0.915,1.0,1,0,100,100,25.0
-58.67165010037316,-34.661558001065295,47362,Led-150,0.8,1.0,1.0,0,0,100,100,25.0
-58.67163492185399,-34.66150449852431,47467,Led-240,0.8,0.954,1.0,0,0,100,100,25.0
-58.67156900044439,-34.66149346628957,47960,Led-150,0.8,0.913,1.0,0,0,100,100,25.0
-58.67155653040887,-34.66149860027083,47999,Led-240,0.8,0.991,1.0,0,0,100,100,25.0
-58.671551481599465,-34.661496174805634,48082,Led-150,0.8,0.946,1.0,0,0,100,100,25.0
-58.67153854776076,-34.661483306151936,48309,Led-240,0.8,0.943,1.0,0,0,100,100,25.0
-58.67150851936682,-34.66147870321416,48633,Led-240,0.8,0.953,1.0,0,0,100,100,25.0
-58.671482247520245,-34.66145108085699,48668,Led-150,0.8,0.995,1.0,0,0,100,100,25.0
-58.67145372860217,-34.66146750069321,48992,Led-150,0.8,0.949,1.0,0,0,100,100,25.0
-58.67138157894014,-34.66144356264646,49796,Led-150,0.8,0.908,1.0,1,0,100,100,25.0
-58.671404601798265,-34.66142910915724,49884,Led-150,0.8,0.991,1.0,1,0,100,100,25.0
-58.67133706791742,-34.66142965860413,50149,Led-240,0.8,0.875,1.3,1,0,100,100,25.0
-58.671381816409195,-34.661412061738474,50245,Led-240,0.8,0.938,1.0,1,0,100,100,25.0
-58.67135102064443,-34.66143402605346,50296,Led-150,0.8,0.997,1.0,0,0,100,100,25.0
-58.67132809079962,-34.661428897905296,50398,Led-150,0.8,0.909,1.0,0,0,100,100,25.0
-58.671356872695355,-34.6614171888367,50551,Led-240,0.8,0.959,1.0,0,0,100,100,25.0
-58.67131959515676,-34.66140988964874,50646,Led-150,0.8,0.94,1.0,1,0,100,100,25.0
-58.671303029675514,-34.66141919340585,50654,Led-150,0.8,0.949,1.0,0,0,100,100,25.0
-58.67126219081964,-34.66140733978196,51124,Led-150,0.8,0.956,1.0,0,0,100,100,25.0
-58.67124957524983,-34.66140209158168,51408,Led-150,0.8,0.995,1.0,0,0,100,100,25.0
-58.6712446496412,-34.6613837641764,51432,Led-150,0.8,0.96,1.0,0,0,100,100,25.0
-58.671260215069765,-34.66138462800569,51461,Led-240,0.8,0.945,1.0,0,0,100,100,25.0
